anime_id,title,title_japanese,image_url,type,source,episodes,status,aired_string,duration,rating,score,scored_by,rank,popularity,studio,genre
10845,Manyuu Hikenchou Specials,魔乳秘剣帖 美乳鍛錬法・乳研ぎ,https://myanimelist.cdn-dena.com/images/anime/3/29932.jpg,Special,Manga,4,Finished Airing,"Oct 4, 2011 to Jan 7, 2012",3 min. per ep.,R+ - Mild Nudity,6.23,3462,,4030,Hoods Entertainment,"Action, Ecchi, Seinen, Yuri"
6896,Pandora Hearts Specials,パンドラハーツ,https://myanimelist.cdn-dena.com/images/anime/13/21439.jpg,Special,Manga,9,Finished Airing,"Jul 24, 2009 to Mar 25, 2010",4 min. per ep.,PG-13 - Teens 13 or older,7.46,17777,1785.0,1910,Xebec,Comedy
32888,Sinbad: Mahiru no Yoru to Fushigi no Mon,シンドバッド,https://myanimelist.cdn-dena.com/images/anime/3/78861.jpg,Movie,Original,1,Finished Airing,"May 14, 2016",1 hr. 54 min.,G - All Ages,6.32,128,6323.0,8805,Nippon Animation,Adventure
31838,Ze Tian Ji,择天记,https://myanimelist.cdn-dena.com/images/anime/3/79002.jpg,ONA,Novel,13,Finished Airing,"Jul 15, 2015 to Dec 23, 2015",15 min. per ep.,PG-13 - Teens 13 or older,6.77,311,4477.0,7407,Shanghai Foch Film Culture Investment,"Action, Adventure, Fantasy"
164,Mononoke Hime,もののけ姫,https://myanimelist.cdn-dena.com/images/anime/7/75919.jpg,Movie,Original,1,Finished Airing,"Jul 12, 1997",2 hr. 10 min.,PG-13 - Teens 13 or older,8.8,333730,29.0,79,Studio Ghibli,"Action, Adventure, Fantasy"
605,Tenshi ni Narumon!,天使になるもんっ！,https://myanimelist.cdn-dena.com/images/anime/1079/92436.jpg,TV,Original,26,Finished Airing,"Apr 7, 1999 to Sep 29, 1999",23 min. per ep.,PG-13 - Teens 13 or older,6.83,1349,4218.0,5025,Studio Pierrot,"Comedy, Romance, Vampire, Fantasy"
855,Strawberry Panic,ストロベリー・パニック,https://myanimelist.cdn-dena.com/images/anime/3/14070.jpg,TV,Other,26,Finished Airing,"Apr 4, 2006 to Sep 26, 2006",25 min. per ep.,PG-13 - Teens 13 or older,7.41,38116,1994.0,959,"Madhouse, Imagin","Drama, Romance, School, Shoujo Ai"
18231,Vanquished Queens Specials,ヴァンキッシュド・クイーンズ,https://myanimelist.cdn-dena.com/images/anime/8/48913.jpg,Special,Other,4,Finished Airing,"Mar 29, 2013 to Sep 30, 2014",6 min. per ep.,R+ - Mild Nudity,5.65,1295,8111.0,5534,Arms,Ecchi
13115,Hakuouki Reimeiroku,薄桜鬼 黎明録,https://myanimelist.cdn-dena.com/images/anime/11/71798.jpg,TV,Visual novel,12,Finished Airing,"Jul 9, 2012 to Sep 24, 2012",23 min. per ep.,R - 17+ (violence & profanity),7.61,14235,1326.0,1868,Studio Deen,"Action, Historical, Supernatural, Drama, Samurai, Josei"
8364,Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,映画 クレヨンしんちゃん　嵐を呼ぶ！夕陽のカスカベボーイズ,https://myanimelist.cdn-dena.com/images/anime/4/22028.jpg,Movie,Manga,1,Finished Airing,"Apr 17, 2004",1 hr. 37 min.,G - All Ages,7.18,743,2882.0,7288,Shin-Ei Animation,"Action, Adventure, Comedy, Historical, Fantasy, Seinen"
670,Lamune,ラムネ,https://myanimelist.cdn-dena.com/images/anime/4/15900.jpg,TV,Visual novel,12,Finished Airing,"Oct 11, 2005 to Dec 27, 2005",24 min. per ep.,PG-13 - Teens 13 or older,6.9,14502,3921.0,2022,"Trinet Entertainment, Picture Magic","Drama, Romance, Slice of Life"
718,Yume de Aetara (TV),夢で逢えたら,https://myanimelist.cdn-dena.com/images/anime/8/25224.jpg,TV,Manga,16,Finished Airing,"Nov 30, 1998 to Dec 24, 1998",7 min. per ep.,R+ - Mild Nudity,6.57,1908,5355.0,5007,J.C.Staff,"Comedy, Drama, Romance, Seinen, Slice of Life"
35434,Konbini Kareshi,コンビニカレシ,https://myanimelist.cdn-dena.com/images/anime/4/86243.jpg,TV,Original,12,Finished Airing,"Jul 7, 2017 to Sep 29, 2017",24 min. per ep.,PG-13 - Teens 13 or older,6.38,12461,6079.0,1816,Studio Pierrot,"Slice of Life, Romance"
25055,Furifure The Animation,フリフレ THE ANIMATION,https://myanimelist.cdn-dena.com/images/anime/10/64117.jpg,OVA,Visual novel,1,Finished Airing,"Sep 26, 2014",27 min.,Rx - Hentai,6.34,1090,,6025,Office Takeout,Hentai
13391,Rakuen Tsuihou,楽園追放 -Expelled from Paradise-,https://myanimelist.cdn-dena.com/images/anime/3/87919.jpg,Movie,Original,1,Finished Airing,"Nov 15, 2014",1 hr. 43 min.,R+ - Mild Nudity,7.52,29307,1588.0,1297,Graphinica,"Action, Sci-Fi, Mecha"
2030,El Cazador de la Bruja,エル・カザド,https://myanimelist.cdn-dena.com/images/anime/11/19922.jpg,TV,Original,26,Finished Airing,"Apr 3, 2007 to Sep 25, 2007",24 min. per ep.,PG-13 - Teens 13 or older,7.29,12814,2457.0,1857,Bee Train,"Adventure, Drama, Mystery"
18195,Little Busters!: Refrain,リトルバスターズ！～Refrain～,https://myanimelist.cdn-dena.com/images/anime/10/55049.jpg,TV,Visual novel,13,Finished Airing,"Oct 5, 2013 to Dec 28, 2013",24 min. per ep.,PG-13 - Teens 13 or older,8.32,47635,221.0,901,J.C.Staff,"Comedy, Drama, Romance, School, Slice of Life, Supernatural"
21479,Metal Fight Beyblade Zero G Specials,メタルファイト ベイブレード ZEROG,https://myanimelist.cdn-dena.com/images/anime/7/56677.jpg,Special,Manga,7,Finished Airing,"Aug 27, 2013 to Sep 25, 2013",25 min. per ep.,PG-13 - Teens 13 or older,6.21,449,6723.0,7528,"Tatsunoko Production, SynergySP","Adventure, Sports"
30379,Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi,長門有希ちゃんの消失 第17話「終われない夏休み」,https://myanimelist.cdn-dena.com/images/anime/6/76840.jpg,OVA,Manga,1,Finished Airing,"Oct 26, 2015",24 min.,PG-13 - Teens 13 or older,6.77,5615,4454.0,3226,Satelight,"Slice of Life, Comedy, Seinen"
384,Gantz,ガンツ,https://myanimelist.cdn-dena.com/images/anime/13/5998.jpg,TV,Manga,13,Finished Airing,"Apr 13, 2004 to Jun 22, 2004",22 min. per ep.,R+ - Mild Nudity,7.2,109756,2810.0,355,Gonzo,"Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi"
2684,Buzzer Beater 2nd Season,BUZZER BEATER 第2期,https://myanimelist.cdn-dena.com/images/anime/3/3615.jpg,TV,Web manga,13,Finished Airing,"Jul 4, 2007 to Sep 26, 2007",25 min. per ep.,PG-13 - Teens 13 or older,6.94,2852,3764.0,4529,TMS Entertainment,"Action, Sci-Fi, Sports, Shounen"
2786,Bakegyamon,妖逆門,https://myanimelist.cdn-dena.com/images/anime/10/21146.jpg,TV,Manga,51,Finished Airing,"Apr 3, 2006 to Mar 26, 2007",25 min. per ep.,PG - Children,6.78,386,4387.0,7022,Radix,"Action, Game, Shounen"
5052,Eightman,エイトマン,https://myanimelist.cdn-dena.com/images/anime/4/73670.jpg,TV,Manga,56,Finished Airing,"Nov 7, 1963 to Dec 24, 1964",25 min. per ep.,PG-13 - Teens 13 or older,6.15,161,6929.0,8615,Nippon Animation,"Action, Mecha, Drama, Sci-Fi"
